time,id,hardware_version,software_version,state,uptime,snr,seconds_to_first_nonempty_slot,pop_ping_drop_rate,downlink_throughput_bps,uplink_throughput_bps,pop_ping_latency_ms,alerts,fraction_obstructed,currently_obstructed,seconds_obstructed,obstruction_duration,obstruction_interval,direction_azimuth,direction_elevation,is_snr_above_noise_floor,wedges_fraction_obstructed,raw_wedges_fraction_obstructed,valid_s,alert_motors_stuck,alert_thermal_throttle,alert_thermal_shutdown,alert_mast_not_near_vertical,alert_unexpected_location,alert_slow_ethernet_speeds,alert_slow_ethernet_speeds_100,alert_roaming,alert_install_pending,alert_is_heating,alert_power_supply_thermal_throttle,alert_is_power_save_idle,alert_moving_while_not_mobile,alert_moving_too_fast_for_policy,alert_dbf_telem_stale,alert_low_motor_current,alert_lower_signal_than_predicted,alert_obstruction_map_reset,latitude,longitude,altitude
1733512624,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,118849,,0.0,0.0,6123.68408203125,10854.8583984375,0.0,131136,0.632938265800476,0,,11.6246013641357,129.729736328125,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733512654,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,118879,,0.0,0.0,15493.7587890625,11408.5068359375,0.0,131136,0.632938265800476,0,,11.6246013641357,129.729736328125,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733512684,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,118909,,0.0,1.0,0.0,10854.8583984375,0.0,131136,0.632938265800476,0,,11.6214828491211,130.120483398438,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512714,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,118939,,0.0,1.0,0.0,11089.740234375,0.0,131136,0.632938265800476,0,,11.6214828491211,130.120483398438,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512744,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,118969,,0.0,1.0,0.0,10586.4228515625,0.0,131136,0.632938265800476,0,,11.6214828491211,130.120483398438,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512774,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,118999,,0.0,1.0,0.0,13287.5546875,0.0,131136,0.632938265800476,0,,11.6477117538452,130.513595581055,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512804,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119029,,0.0,1.0,0.0,9865.0029296875,0.0,131136,0.632938265800476,0,,11.6477117538452,130.513595581055,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512834,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119059,,0.0,1.0,0.0,10418.6513671875,0.0,131136,0.632938265800476,0,,11.6477117538452,130.513595581055,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512864,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119089,,0.0,1.0,0.0,17473.470703125,0.0,131136,0.632938265800476,0,,11.6477117538452,130.513595581055,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512894,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119119,,0.0,1.0,0.0,10418.6513671875,0.0,131136,0.632938265800476,0,,11.6477117538452,130.513595581055,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733512924,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,OBSTRUCTED,119149,,0.0,0.625,0.0,11643.3876953125,0.0,131136,0.633115172386169,0,,11.6149015426636,130.513595581055,-25.9932327270508,63.5703201293945,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512954,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119179,,0.0,1.0,0.0,9999.220703125,0.0,131136,0.633115172386169,0,,11.6149015426636,130.513595581055,-56.8220825195313,70.4847946166992,0,,,,,,,,,,,,,,,,,,,,,,,,
1733512984,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119209,,0.0,1.0,0.0,13455.3271484375,0.0,131136,0.633115172386169,0,,11.6091299057007,130.909088134766,-102.285255432129,74.3200759887695,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513014,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119239,,0.0,1.0,0.0,11408.5068359375,0.0,131136,0.633115172386169,0,,11.5670690536499,130.909088134766,-82.9213790893555,55.6006011962891,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513044,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119269,,0.0,0.0,6023.0205078125,11643.3876953125,0.0,131136,0.632938265800476,0,,11.5670690536499,130.909088134766,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513074,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119299,,0.0,0.0,6660.5546875,11408.5068359375,0.0,131136,0.632938265800476,0,,11.5670690536499,130.909088134766,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513104,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119329,,0.0,1.0,0.0,9445.572265625,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513134,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119359,,0.0,1.0,0.0,14008.9755859375,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513164,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119389,,0.0,1.0,0.0,10586.4228515625,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513194,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119419,,0.0,1.0,0.0,14008.9755859375,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513224,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119449,,0.0,1.0,0.0,10586.4228515625,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513254,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,NO_DOWNLINK,119479,,0.0,1.0,0.0,11408.5068359375,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513284,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119509,,0.0,1.0,0.0,11140.0712890625,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513314,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119539,,0.0,1.0,0.0,10317.98828125,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513344,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119569,,0.0,0.714285731315613,366607.34375,10032.775390625,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513374,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,CONNECTED,119599,,0.0,0.0,5486.1494140625,11374.9521484375,0.0,131136,0.632938265800476,0,,11.5716505050659,131.306976318359,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,
1733513404,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119629,,0.0,1.0,0.0,9445.572265625,0.0,131136,0.632938265800476,0,,11.565465927124,131.707305908203,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
1733513434,ut01000000-00000000-0068a44b,rev3_proto2,2024.11.25.mr46348.1,SEARCHING,119659,,0.0,1.0,0.0,8623.4892578125,0.0,131136,0.632938265800476,0,,11.565465927124,131.707305908203,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
